panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta	method
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-1.5020438051327574	0.005302618800898884	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.36990879580028313	7.41819026744972e-05	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.3951427405992902	3.4822818692492596e-05	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.30074810709632604	1.2503844268429987e-05	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-1.7946883252753452	0.0004216208534645327	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.18236812622439658	0.00021574343627628334	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-1.6065348807958415	0.004319837867809206	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-1.1795410956905208	0.0012079228280493792	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-3.868559654665347	0.01160530267517601	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.11365334635943114	9.343545644913132e-05	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.08330608428846631	0.0001105239094181254	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.0035172736734292442	0.0004020415633125829	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-1.9940551545845153	0.004377088275318353	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	-0.7620848690312627	0.001905224089765567	genus_xny_a0.25
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.26154376061127493	-0.0009013947566667291	genus_xny_a0.25
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	-0.6139305715213368	0.004859504022992511	genus_xny_a0.25
