panel	sample	method	delta_F1	delta_L1_union_pp	delta_Pearson_union	TP_delta	FP_delta	FN_delta	rescued_species	rescued_TP	rescued_FP
hmp_gastrooral_gtdb_source_abundance	6	wrapper_accession-current-or-ani93-xny650-br20_zero	0.011131725417439675	0.0	-1.1102230246251565e-16	1	0	-1	0	0	0
hmp_gastrooral_gtdb_source_abundance	6	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.011131725417439675	-0.2370710975494319	0.0009455631182055946	1	0	-1	0	0	0
cami3_toy_human_gut_gtdb_source_readmap	0	wrapper_accession-current-or-ani93-xny650-br20_zero	0.01840698001688701	3.835645556891798	-0.014402936935162258	3	0	-3	0	0	0
cami3_toy_human_gut_gtdb_source_readmap	0	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.01840698001688701	-1.2181491930227892	0.006281632959618033	3	0	-3	0	0	0
cami3_toy_human_gut_gtdb_source_readmap	1	wrapper_accession-current-or-ani93-xny650-br20_zero	0.016787029508823936	0.27603222548766837	-0.004298625154236846	3	0	-3	0	0	0
cami3_toy_human_gut_gtdb_source_readmap	1	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.016787029508823936	-8.071519179782456	0.07127415647859092	3	0	-3	0	0	0
cami3_toy_human_gut_gtdb_source_readmap	2	wrapper_accession-current-or-ani93-xny650-br20_zero	0.005737883068898109	-4.495294038052663	0.029764080550632732	1	0	-1	0	0	0
cami3_toy_human_gut_gtdb_source_readmap	2	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.005737883068898109	-6.257059954210902	0.043941565533600624	1	0	-1	0	0	0
marine_setup_truth_profile_rescore	3	wrapper_accession-current-or-ani93-xny650-br20_zero	-0.0021769025953125576	0.0	7.165082386495492e-05	0	2	0	0	0	0
marine_setup_truth_profile_rescore	3	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	-0.0021769025953125576	0.4585034013106508	-0.002252933962635262	0	2	0	0	0	0
marine_setup_truth_profile_rescore	4	wrapper_accession-current-or-ani93-xny650-br20_zero	-0.002987421383647826	0.0	8.424504867932114e-05	0	2	0	0	0	0
marine_setup_truth_profile_rescore	4	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	-0.002987421383647826	0.4099877329987507	-0.001699511146364463	0	2	0	0	0	0
marine_setup_truth_profile_rescore	5	wrapper_accession-current-or-ani93-xny650-br20_zero	-0.0037535833258541818	0.0	5.0440207570612294e-05	0	3	0	0	0	0
marine_setup_truth_profile_rescore	5	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	-0.0037535833258541818	0.9951514705031812	-0.005440814803178151	0	3	0	0	0	0
cami3_source_readmap_extension_after_recovery	3	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
cami3_source_readmap_extension_after_recovery	3	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
cami3_source_readmap_extension_after_recovery	4	wrapper_accession-current-or-ani93-xny650-br20_zero	0.00906239107703044	-0.12273570001227085	1.2958458498468772e-06	1	0	-1	0	0	0
cami3_source_readmap_extension_after_recovery	4	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.00906239107703044	-5.318368357910131	0.033600698003653395	1	0	-1	0	0	0
cami3_source_readmap_extension_after_recovery	5	wrapper_accession-current-or-ani93-xny650-br20_zero	0.007224958949096916	0.0	0.0	1	0	-1	0	0	0
cami3_source_readmap_extension_after_recovery	5	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.007224958949096916	-0.8027034948295544	0.0013171583793873953	1	0	-1	0	0	0
