method	panel_count	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	decision
reported_ani_ge_0.94	4	32	-0.07140868068324863	-0.8472906403940886	12	9	-0.20993679979988072	-0.8159567931704953	2	2	0.18652991805441332	49.92395499605569	0.002778068727257296	worse_or_equal
drop_xny_lt_100_and_breadth_lt_0.1	4	32	-0.0021197888279026293	-0.23753454283311304	12	9	-0.06443836723370483	-0.2092604146960103	1	3	-0.8732921565498564	0.4269061903090261	0.0009397979900982872	worse_or_equal
drop_xny_lt_100_and_breadth_lt_0.2	4	32	-0.0021197888279026293	-0.23753454283311304	12	9	-0.06443836723370483	-0.2092604146960103	1	3	-0.8732921565498564	0.4269061903090261	0.0009397979900982872	worse_or_equal
drop_xny_lt_100_and_breadth_lt_0.3	4	32	-0.0021197888279026293	-0.23753454283311304	12	9	-0.06443836723370483	-0.2092604146960103	1	3	-0.8732921565498564	0.4269061903090261	0.0009397979900982872	worse_or_equal
max_real_min_af_ge_0.1	4	32	-0.0021197888279026293	-0.23753454283311304	12	9	-0.06443836723370483	-0.2092604146960103	1	3	-0.8732921565498564	0.4269061903090261	0.0009397979900982872	worse_or_equal
max_xny_ge_100	4	32	-0.0021197888279026293	-0.23753454283311304	12	9	-0.06443836723370483	-0.2092604146960103	1	3	-0.8732921565498564	0.4269061903090261	0.0009397979900982872	worse_or_equal
s_real_min_af_ge_0.1	4	32	-0.0021197888279026293	-0.23753454283311304	12	9	-0.06443836723370483	-0.2092604146960103	1	3	-0.8732921565498564	0.4269061903090261	0.0009397979900982872	worse_or_equal
s_xny_ge_100	4	32	-0.0021197888279026293	-0.23753454283311304	12	9	-0.06443836723370483	-0.2092604146960103	1	3	-0.8732921565498564	0.4269061903090261	0.0009397979900982872	worse_or_equal
drop_xny_lt_200_and_breadth_lt_0.1	4	32	-0.005503967385204022	-0.273204455255409	12	9	-0.07836777641252457	-0.24152756942620313	1	3	-1.0522769005281327	0.4959358345034026	0.0009183530614564027	worse_or_equal
drop_prob_lt_0.5_and_zipaf_lt_0.4	4	32	-0.001030465964485569	-0.05147912206948124	8	10	-0.009521835516430877	-0.033708600593080895	1	2	-0.7655719935576005	2.1976684250903062	0.0009068308344584754	worse_or_equal
