route	rule	pooled_F1	base_pooled_F1	delta_pooled_F1	mean_delta_F1	worsened_samples	improved_samples	TP	FP	FN	added_species	added_TP	added_FP
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.30	0.7951296982530438	0.7808292945611202	0.014300403691923647	0.01425382757751518	0	3	751	188	199	32	26	6
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.30_depth2	0.7904255319148936	0.7808292945611202	0.009596237353773462	0.009654468426312271	0	3	743	187	207	23	18	5
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.30_depth5	0.7828418230563002	0.7808292945611202	0.002012528495180077	0.0018879579906873056	0	3	730	185	220	8	5	3
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.50	0.7963944856839873	0.7808292945611202	0.015565191122867139	0.01559351845995586	0	3	751	185	199	29	26	3
marine_setup_truth_profile_rescore	raw_ani0.97_xny100_breadth0.05	0.8381618381618382	0.7808292945611202	0.057332543600718044	0.05781633099152683	0	3	839	213	111	145	114	31
marine_setup_truth_profile_rescore	raw_ani0.97_xny100_breadth0.10	0.8343373493975903	0.7808292945611202	0.05350805483647014	0.05409585756444827	0	3	831	211	119	135	106	29
marine_setup_truth_profile_rescore	raw_ani0.97_xny100_breadth0.20	0.8176229508196722	0.7808292945611202	0.03679365625855202	0.03668301651494351	0	3	798	204	152	95	73	22
marine_setup_truth_profile_rescore	raw_ani0.97_xny100_breadth0.30	0.8091523660946438	0.7808292945611202	0.028323071533523647	0.028275581961629603	0	3	778	195	172	66	53	13
marine_setup_truth_profile_rescore	raw_ani0.97_xny100_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.97_xny250_breadth0.05	0.8143958868894602	0.7808292945611202	0.03356659232834003	0.03331564070400306	0	3	792	203	158	88	67	21
